구분,주차허용시작점,주차허용종료점,허용면,총거리(m),평일운영시작시간,평일운영종료시각,토요일운영시작시간,토요일운영종료,"일, 공휴일운영시작시간","일, 공휴일 운영종료시간",금지차량
달성서,사문진로 성산지하도(화원읍 성산리 16),사문진로 광법사 앞(화원읍 성산리 80),양측,1200,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달성서,창성텍스타일(화원읍 설화리 607),하이카프라자(화원읍 설화리 553-5),양측,700,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달성서,테크노북로(포산동네거리),테크노북로(상리네거리),양측,1120,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달성서,테크노대로5길(과학관네거리),테크노대로5길( IHL 앞 3R),양측,1540,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달성서,유곡길(유곡네거리),유곡길(유가네거리),양측,1440,"09:00, 19:00","17:00, 07:0",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달성서,논공읍 논공로 87길128,논공읍 논공로396-7,양측,250,0:00,0:00,,,,,"1.5톤초과 화물차, 30인승 초과승합차"
달성서,논공읍 삼리리 26-10,논공읍 금포리 1958,편측,300,"09:00, 19:00","17:00, 07:00",,,,,"1.5톤초과 화물차, 30인승 초과승합차"
강북서,관음동 대구 은행칠곡점,관음동 386-5,양측,200,22:00,7:00,0:00,0:00,0:00,0:00,
강북서,동변동 662(GS25시) 맞은편,유니버시아드@ 208동 앞,편측,1000,"09:00, 20:00","17:00, 07:00 ",0:00,0:00,0:00,0:00,1.5톤이상 차량 항시금지
강북서,동변동 662(GS25시),동변동 탑클래스학원,양측,190,"09:00, 20:00","17:00, 07:00",0:00,0:00,0:00,0:00,
강북서,동변동 674-19(다솜컴퓨터 실습소),동변동 674-19(유니버시아드@ 210동),양측,620,"09:00, 20:00","17:00, 07:00",0:00,0:00,0:00,0:00,
강북서,구암동 화성파크그랜드 308동,구암동 옻골 동산,양측,750,"09:00, 20:00","17:00, 07:00",0:00,0:00,0:00,0:00,
강북서,칠곡IC 네거리,칠곡 네거리,양측,600,21:00,7:00,,,,,
강북서,부엉덩이 마을 앞,팔달교 동편 노곡동 강변로,편측,450,20:00,7:00,,,,,
강북서,태전동 구암고,면허시험장 후문,편측,100,21:00,7:00,,,,,"1.3톤이상 화물차, 15인승이상 승합차"
